candidate,calibration_seed,selected_start_id,selected_initial_alpha,selected_initial_beta,alpha,beta,alpha_abs_log_error,beta_abs_log_error,joint_abs_log_error,network_train_rmse_log,network_test_rmse_log,exact_ode_train_rmse_log,network_to_fitted_ode_rmse_log,training_objective,pre_RN_rmse_h-1,pre_RP_rmse_h-1,treatment_RN_rmse_h-1,treatment_RP_rmse_h-1,post_RN_rmse_h-1,post_RP_rmse_h-1,pre_network_clean_rmse_log,pre_fitted_ode_clean_rmse_log,treatment_network_clean_rmse_log,treatment_fitted_ode_clean_rmse_log,post_network_clean_rmse_log,post_fitted_ode_clean_rmse_log
piecewise,911,1,0.01,0.3,0.0008302165606612536,0.06489299514788968,0.18606869576493146,0.43243050110955555,0.6184991968744871,0.08467967773284944,0.13358388475884792,0.0869132347093116,0.017044336115017707,0.0021832865189910585,0.0027511594934949524,0.0014438231949660365,0.007566051199647645,0.0036993826741806165,0.0022111146814876056,0.0013922012644686829,0.0008971675168285639,7.294770875374149e-05,0.006409754268355537,0.008437635747818195,0.03536527690233811,0.05765120567518307
piecewise,912,1,0.01,0.3,0.0009973771828746447,0.10257625710227299,0.0026262627363154408,0.025436307710081613,0.028062570446397053,0.09780104161252516,0.11215229960118592,0.09928376167983154,0.008197455696444247,0.002980255620511614,0.004974657419538372,0.00197253462068997,0.013139359353757245,0.00828872611887954,0.004987114972252435,0.004249518053567884,0.005295544423984012,2.692795462028045e-06,0.011031666915963731,0.0030363727674656144,0.008882035460543659,0.0035296649304480013
piecewise,913,1,0.01,0.3,0.000964125992013414,0.08177762801365529,0.036533295802363926,0.20116647595187012,0.23769977175423404,0.0957457170929,0.07062841060938865,0.09795365095263178,0.008901307749797771,0.0028293765174888176,0.002432819617390484,0.0026990041455545737,0.011445356577762958,0.0038757724244844727,0.007961863772714987,0.003341269559979009,0.002755636396968479,9.780897850579086e-06,0.013799287776514532,0.00947084642182691,0.024385241384348513,0.02060389304832095
piecewise,914,1,0.01,0.3,0.000937281999718311,0.08703250260284578,0.06477108181151005,0.13888854396588873,0.20365962577739877,0.10578929177389633,0.09483577560157624,0.11059265631698097,0.015558050821098382,0.0035365097850440833,0.013413596054549922,0.0015512272632682757,0.017314096357955007,0.002519834390084994,0.004190978497198575,0.0017257851366360218,0.016444866046996652,2.6710490682771545e-05,0.014749627894975676,0.002527173558711897,0.006044142680172796,0.019953478123730946
piecewise,915,1,0.01,0.3,0.0009767334585066346,0.12335106026746549,0.02354148042800036,0.2098642525519983,0.23340573297999867,0.11332864562967468,0.10697805215256549,0.11523819177470734,0.010903221078714078,0.003986375223272942,0.006914564816764957,0.0028178166454670703,0.014089975186816638,0.00620878188189863,0.008676389930288651,0.0023641085321584,0.0029485102522564515,2.394256811179609e-05,0.021114031131081745,0.02670801683331259,0.028374022536090334,0.030757938827177693
piecewise_multistart,911,2,0.003,0.1,0.0008338051678488651,0.06472922441187323,0.18175551560686043,0.43495739539843575,0.6167129110052962,0.08468273002612947,0.1335959776620682,0.08675530743684276,0.016190335213081403,0.0021797853215817526,0.0020671751408698077,0.0012515765722862552,0.006839162834974313,0.00398731970083575,0.00216711652428339,0.0017343484622582518,0.0004949536074695006,7.09437749596807e-05,0.006400862755438611,0.0074823496697062186,0.03553497524887783,0.056902868980819976
piecewise_multistart,912,2,0.003,0.1,0.0010156826553900863,0.1076205968820475,0.015560953308786585,0.07344186425783467,0.08900281756662125,0.09749499862143281,0.1117779523522364,0.09916013880543116,0.007986066199460741,0.0029052670110844836,0.005138043894430119,0.0006413466227641664,0.010107558569897417,0.003569269489065967,0.0038339576427716513,0.00050341144937198,0.005120653445790314,4.407379702995368e-06,0.012910276089636026,0.0037973547022687607,0.009376459608567476,0.007791621781351937
piecewise_multistart,913,2,0.003,0.1,0.0009731112617691825,0.08187689516958489,0.0272568541359877,0.19995334519113186,0.22721019932711956,0.09580981441186899,0.07029673961765084,0.09796567052481496,0.008965268956506586,0.0028322728676915517,0.0016167188086453725,0.0013720779248721328,0.011339407419128521,0.005364893781567498,0.006897628721530175,0.00432253380363232,0.0014800902199297418,5.046338563018244e-06,0.014159860807688617,0.011451649803576748,0.024544082017589244,0.02041330165941578
piecewise_multistart,914,2,0.003,0.1,0.000993010256748221,0.0948169280957788,0.007014285938726594,0.05322222625703044,0.060236512195757035,0.10583900516620857,0.09593042810650543,0.10997136910060443,0.012693670817544689,0.00350274156787412,0.014168126366088355,0.0007256403846695941,0.012466973508443512,0.004150483452544677,0.005501132472881329,0.002211274455871534,0.017142466125046676,1.0649157894683999e-06,0.015533086050192478,0.0034073495139477963,0.004671298656261333,0.005560728312459114
piecewise_multistart,915,2,0.003,0.1,0.0008945277117151651,0.10837121579448362,0.11145939639566856,0.08039233080501779,0.19185172720068633,0.11335356366036738,0.1075420464566748,0.11692769989605736,0.021788422013577273,0.003942356392943129,0.005757708374598111,0.0012006429288651612,0.011431193590320583,0.004822305918752027,0.007163671330411735,0.003013630639421233,0.004642666519707911,5.9822162945191544e-05,0.023604400364452858,0.031752834404674496,0.027381683138420626,0.04125323406834677
