condition,bootstrap_configuration,cluster_counts,probability,D,alpha,beta,weighted_sse,converged,alpha_at_lower_bound,beta_at_lower_bound,any_upper_bound
nordholt_ddac,23,0;0;0;4;0;2,0.0003215020576131692,-73.32418012585732,1.0000000000000018e-08,28.493980375023714,95.05037831103786,True,True,False,False
nordholt_ddac,24,0;0;0;4;1;1,0.0006430041152263385,-73.35998577992436,1.0000000000000018e-08,28.64512197904904,92.75428362615943,True,True,False,False
nordholt_ddac,25,0;0;0;4;2;0,0.0003215020576131692,-73.3955199297529,1.0000000000000018e-08,28.786199416599842,90.4169037474177,True,True,False,False
nordholt_ddac,26,0;0;0;5;0;1,0.00012860082304526734,-70.60872375812754,1.0000000000000018e-08,27.971808789928485,75.33891619723357,True,True,False,False
nordholt_ddac,27,0;0;0;5;1;0,0.00012860082304526734,-70.64967164281498,1.0000000000000018e-08,28.125234098628297,73.35325215873605,True,True,False,False
nordholt_ddac,28,0;0;0;6;0;0,2.1433470507544566e-05,-67.90750890607961,1.0000000000000018e-08,27.719482692465483,49.669303319668025,True,True,False,False
nordholt_ddac,29,0;0;1;0;0;5,0.00012860082304526734,-999.9999999999989,551.6946768007034,111.05297768782319,61.85024128390478,True,False,False,True
nordholt_ddac,30,0;0;1;0;1;4,0.0006430041152263385,-999.999999999966,502.1161531373357,105.42164789057946,64.46502097399726,True,False,False,True
nordholt_ddac,31,0;0;1;0;2;3,0.001286008230452675,-999.9999999999989,466.3633171183118,101.24107915361061,66.36288692480404,True,False,False,True
nordholt_ddac,32,0;0;1;0;3;2,0.001286008230452675,-999.9999999999989,439.6506234385362,98.026344804526,67.70280390581775,True,False,False,True
nordholt_ddac,33,0;0;1;0;4;1,0.0006430041152263385,-999.9999999998807,419.1702224577741,95.48876912842894,68.59957255333333,True,False,False,True
nordholt_ddac,34,0;0;1;0;5;0,0.00012860082304526734,-79.80187716341264,1.0000314193536442e-08,38.306978198186435,83.61776238646407,True,True,False,False
nordholt_ddac,35,0;0;1;1;0;4,0.0006430041152263385,-77.92787655834596,1.0000000000000018e-08,33.30399822162256,113.12064239533737,True,True,False,False
