condition,parameter,fixed_value,profile_sse,reference_sse,relative_sse,delta_sse,conditional_gaussian_lr,n_observations,converged,optimized_D,optimized_alpha,optimized_beta
nordholt_h2o2,D_abs,108.72438601974807,89.1171227267158,88.32837226155871,1.0089297520712988,0.7887504651570936,0.3111541163893032,35,True,-108.72438601974804,219.96290365635252,999.9999999999989
nordholt_h2o2,D_abs,114.71652001439179,89.28191388641702,88.32837226155871,1.0107954171512938,0.9535416248583033,0.37581469235981335,35,True,-114.7165200143918,284.27307355979053,999.9999999999989
nordholt_h2o2,D_abs,121.03889887059987,89.43697480915168,88.32837226155871,1.0125509224183387,1.108602547592966,0.4365484368131743,35,True,-121.03889887059987,352.1278149427543,999.9999999999989
nordholt_h2o2,D_abs,125.89254117941688,89.54480374896897,88.32837226155871,1.0137716959598004,1.2164314874102615,0.47872047667788226,35,True,-125.89254117941688,404.2194790509819,999.9999999999989
nordholt_h2o2,D_abs,127.70972339441028,89.58293960141987,88.32837226155871,1.0142034468397778,1.254567339861154,0.4936233033532186,35,True,-127.70972339441022,423.72238427940533,999.9999999999989
nordholt_h2o2,D_abs,134.74819749404043,89.72039599841665,88.32837226155871,1.015759644395301,1.3920237368579365,0.5472862742205187,35,True,-134.74819749404048,499.26284810878076,999.9999999999989
nordholt_h2o2,D_abs,142.17458346392164,89.84988882603321,88.32837226155871,1.0172256832716102,1.5215165644744957,0.5977651132626809,35,True,-142.17458346392164,578.9666543018299,999.9999999999989
nordholt_h2o2,D_abs,150.01026031560545,89.97192327209058,88.32837226155871,1.018607282897334,1.6435510105318656,0.6452699873141505,35,True,-150.0102603156055,663.0632572065432,999.9999999999989
nordholt_h2o2,D_abs,158.27778532346545,90.08696797900181,88.32837226155871,1.0199097489562643,1.7585957174431002,0.6899949688114417,35,True,-158.27778532346545,751.7947790446207,999.9999999999989
nordholt_h2o2,D_abs,158.48931924611142,90.08974669041253,88.32837226155871,1.0199412078334016,1.761374428853813,0.6910745189582087,35,True,-158.4893192461114,754.065075311077,999.9999999999989
nordholt_h2o2,D_abs,167.00095896237096,90.19545795706784,88.32837226155871,1.0211380063699158,1.8670856955091324,0.7321194262671001,35,True,-167.00095896237096,845.4166754165547,999.9999999999989
nordholt_h2o2,D_abs,176.204893424275,90.29779731135915,88.32837226155871,1.0222966301696192,1.969425049800435,0.7718093058552457,35,True,-176.20489342427499,944.1985034299457,999.9999999999989
nordholt_h2o2,D_abs,185.91608491096136,90.47994760582247,88.32837226155871,1.0243588247940594,2.1515753442637617,0.8423408026013435,35,True,-185.91608491096136,999.9999999999989,968.3656917345289
nordholt_h2o2,D_abs,196.16248991106582,90.80843396698018,88.32837226155871,1.0280777471827227,2.4800617054214626,0.9691777804933168,35,True,-196.1624899110658,999.9999999999989,883.016407398479
nordholt_h2o2,D_abs,199.52623149688827,90.91802746012426,88.32837226155871,1.029318497921563,2.589655198565552,1.0113925762355938,35,True,-199.5262314968882,999.9999999999989,858.4030711831819
nordholt_h2o2,D_abs,206.973605680959,91.16336886073513,88.32837226155871,1.0320961037386878,2.8349965991764208,1.1057125275496786,35,True,-206.97360568095908,999.9999999999989,808.8408210908069
nordholt_h2o2,D_abs,218.38055516117575,91.5454271798714,88.32837226155871,1.0364215351867496,3.2170549183126838,1.2520881914457254,35,True,-218.3805551611758,999.9999999999989,743.8624939258469
nordholt_h2o2,D_abs,230.4161765728504,91.9553171727498,88.32837226155871,1.0410620598832157,3.6269449111910887,1.408449122422577,35,True,-230.41617657285047,999.9999999999989,686.5437346653636
nordholt_h2o2,D_abs,243.11511795208446,92.39377993482144,88.32837226155871,1.0460260680591307,4.065407673262726,1.574940044819418,35,True,-243.11511795208452,999.9999999999989,635.6701869921221
nordholt_h2o2,D_abs,251.18864315095823,92.67510951276678,88.32837226155871,1.0492111100874413,4.346737251208069,1.681349532032246,35,True,-251.18864315095828,999.9999999999989,607.4256823495683
nordholt_h2o2,D_abs,256.5139368943951,92.86158875628053,88.32837226155871,1.0513223144348003,4.533216494721813,1.7517051628225466,35,True,-256.51393689439516,999.9999999999989,590.2700359675661
nordholt_h2o2,D_abs,270.6512057963839,93.35954831970892,88.32837226155871,1.0569599091360118,5.0311760581502085,1.9388872038547476,35,True,-270.651205796384,999.9999999999989,549.5562931412975
nordholt_h2o2,D_abs,285.56762289759655,93.88849374356171,88.32837226155871,1.0629483068649597,5.560121482002998,2.1366264044800074,35,True,-285.5676228975966,999.9999999999989,512.8848074155685
nordholt_h2o2,D_abs,301.30612944224123,94.44928946920847,88.32837226155871,1.0692972943000063,6.120917207649754,2.345059445061287,35,True,-301.30612944224123,999.9999999999989,479.7232374908299
nordholt_h2o2,D_abs,316.2277660168379,94.98257206358521,88.32837226155871,1.0753347948303862,6.654199802026497,2.5421217550643718,35,True,-316.22776601683796,999.9999999999989,452.4819518533198
nordholt_h2o2,D_abs,317.91203329804625,95.04282799098078,88.32837226155871,1.076016975718053,6.71445572942207,2.5643183406673855,35,True,-317.91203329804614,999.9999999999989,449.6277678688062
nordholt_h2o2,D_abs,335.4331393881329,95.67002843031686,88.32837226155871,1.083117756851875,7.341656168758149,2.7945292968766524,35,True,-335.4331393881329,999.9999999999989,422.22541722053234
nordholt_h2o2,D_abs,353.9198873113873,96.33183495667504,88.32837226155871,1.090610327012666,8.003462695116326,3.035811540166451,35,True,-353.9198873113872,999.9999999999989,397.20042842654516
nordholt_h2o2,D_abs,373.4254965475142,97.02921505944349,88.32837226155871,1.0985056395256527,8.700842797884775,3.2882761335041133,35,True,-373.42549654751406,999.9999999999989,374.2836805966736
nordholt_h2o2,D_abs,394.0061196647846,97.76315767661256,88.32837226155871,1.1068148905440653,9.434785415053852,3.552024788553837,35,True,-394.00611966478476,999.9999999999989,353.24437101219286
nordholt_h2o2,D_abs,398.1071705534977,97.90911301767457,88.32837226155871,1.108467307964708,9.580740756115858,3.60423901253639,35,True,-398.1071705534976,999.9999999999989,349.38241340938055
nordholt_h2o2,D_abs,415.7210039715325,98.5346711875033,88.32837226155871,1.1155494963240307,10.206298925944594,3.8271486865698954,35,True,-415.72100397153235,999.9999999999989,333.88341293936276
nordholt_h2o2,D_abs,438.6326620767599,99.34478127833665,88.32837226155871,1.1247210690598493,11.016409016777942,4.113727320536981,35,True,-438.63266207675997,999.9999999999989,316.02816458397365
nordholt_h2o2,D_abs,501.18723362727246,101.53184026011095,88.32837226155871,1.1494816179726943,13.203467998552242,4.875887581912086,35,True,-501.1872336272723,999.9999999999989,277.24746052426394
nordholt_h2o2,D_abs,630.9573444801943,105.93347871227088,88.32837226155871,1.1993142859983854,17.60510645071217,6.361248779615873,35,True,-630.9573444801943,999.9999999999989,224.91585004236157
nordholt_h2o2,D_abs,794.3282347242822,111.1988932634278,88.32837226155871,1.2589261005981716,22.870521001869093,8.05906697525033,35,True,-794.3282347242821,999.9999999999989,185.8745227618635
nordholt_h2o2,D_abs,999.9999999999998,117.41126644597773,88.32837226155871,1.3292588037091695,29.08289418441902,9.961752375588725,35,True,-999.9999999999998,999.9999999999989,156.06655061587966
nordholt_h2o2,alpha,9.999999999999982e-09,88.32837225995546,88.32837226155871,0.999999999981849,-1.6032544181143749e-09,0.0,35,True,-87.72653173461275,9.999999999999982e-09,131.6211789339591
nordholt_h2o2,alpha,1.0293887356342322e-08,88.3283722601726,88.32837226155871,0.9999999999843073,-1.3861125580660882e-09,0.0,35,True,-87.72653173461275,1.0293887356342305e-08,131.6211789339591
nordholt_h2o2,alpha,1.0861215024247188e-08,88.3283722605918,88.32837226155871,0.9999999999890533,-9.669065548223443e-10,0.0,35,True,-87.72653164141622,1.0861215024247175e-08,131.6211648277225
nordholt_h2o2,alpha,1.145980985795915e-08,88.3283722610341,88.32837226155871,0.9999999999940608,-5.246079126663972e-10,0.0,35,True,-87.7265315833392,1.1459809857959146e-08,131.62115661524703
nordholt_h2o2,alpha,1.2091395086773942e-08,88.32837226150076,88.32837226155871,0.9999999999993439,-5.795186552859377e-11,0.0,35,True,-87.7265315884013,1.2091395086773942e-08,131.62118343493532
nordholt_h2o2,alpha,1.2757788912432941e-08,88.32837226199317,88.32837226155871,1.0000000000049187,4.3445425035315566e-10,1.7215562309005189e-10,35,True,-87.726531673807,1.2757788912432951e-08,131.62116291849208
nordholt_h2o2,alpha,1.346090974334564e-08,88.32837226251269,88.32837226155871,1.0000000000108002,9.539746770315105e-10,3.78008735422332e-10,35,True,-87.7265311552841,1.3460909743345655e-08,131.62120342048803
nordholt_h2o2,alpha,1.4202781717286076e-08,88.32837226306086,88.32837226155871,1.0000000000170064,1.5021441868157126e-09,5.952238701872239e-10,35,True,-87.72653137635,1.4202781717286098e-08,131.62120344092995
nordholt_h2o2,alpha,1.498554052846203e-08,88.32837226363922,88.32837226155871,1.0000000000235543,2.080511762869719e-09,8.243994375947747e-10,35,True,-87.72653137635,1.4985540528462014e-08,131.62120344092995
nordholt_h2o2,alpha,1.5252229565390198e-08,88.32837226383626,88.32837226155871,1.000000000025785,2.2775452634959947e-09,9.02472541130539e-10,35,True,-87.72653137635,1.525222956539017e-08,131.62120344092995
nordholt_h2o2,alpha,1.5811439575731874e-08,88.32837226424948,88.32837226155871,1.0000000000304632,2.6907684969046386e-09,1.066211563466726e-09,35,True,-87.72653162839195,1.5811439575731864e-08,131.62117450392836
nordholt_h2o2,alpha,1.6682856449668406e-08,88.32837226489336,88.32837226155871,1.000000000037753,3.334648113195726e-09,1.321351916747131e-09,35,True,-87.72653162839195,1.6682856449668406e-08,131.62117450392836
nordholt_h2o2,alpha,1.7602299777144746e-08,88.32837226557271,88.32837226155871,1.000000000045444,4.013998022855958e-09,1.5905432526246962e-09,35,True,-87.72653162839195,1.7602299777144752e-08,131.62117450392836
nordholt_h2o2,alpha,1.8572416443146247e-08,88.32837226628953,88.32837226155871,1.0000000000535594,4.7308219564001774e-09,1.8745782703386373e-09,35,True,-87.72653168306532,1.8572416443146266e-08,131.62119034999554
nordholt_h2o2,alpha,1.9595999210598644e-08,88.32837226704585,88.32837226155871,1.000000000062122,5.487137855197943e-09,2.1742729838116423e-09,35,True,-87.72653161373415,1.9595999210598677e-08,131.62122608781058
nordholt_h2o2,alpha,2.0675994760148232e-08,88.32837226784383,88.32837226155871,1.0000000000711562,6.285119980020681e-09,2.4904667216498653e-09,35,True,-87.72653161373415,2.0675994760148206e-08,131.62122608781058
nordholt_h2o2,alpha,2.1815512173038993e-08,88.32837226868583,88.32837226155871,1.0000000000806888,7.1271131218964e-09,2.8241076143158123e-09,35,True,-87.72653158541296,2.1815512173038973e-08,131.6212368486775
nordholt_h2o2,alpha,2.3017831881507033e-08,88.3283722695742,88.32837226155871,1.0000000000907465,8.015490493562538e-09,3.176128249149586e-09,35,True,-87.7265316318873,2.301783188150703e-08,131.6212380178587
