condition,initial_condition_scenario,initial_fraction,bootstrap_id,sampled_replicates,D,alpha,beta,train_sse
ciprofloxacin,assumed_0.1pct,0.001,54,1;2;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,55,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,56,1;2;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,57,2;1;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,58,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,59,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,60,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,61,1;2;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,62,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,63,1;2;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,64,3;1;3,-4.284108824733373,1.0000000157995094e-08,0.6120669570266591,14.385707793610713
ciprofloxacin,assumed_0.1pct,0.001,65,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,66,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,67,2;2;1,-4.770465984827408,1.0000237006140267e-08,0.4785047624546286,10.040415225970586
ciprofloxacin,assumed_0.1pct,0.001,68,3;3;1,-4.284108599810683,1.0000000219532004e-08,0.6120669412629607,14.385707793607565
ciprofloxacin,assumed_0.1pct,0.001,69,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,70,1;2;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,71,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,72,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,73,3;1;3,-4.284108824733373,1.0000000157995094e-08,0.6120669570266591,14.385707793610713
ciprofloxacin,assumed_0.1pct,0.001,74,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,75,1;3;3,-4.2841086597677815,1.000000038640098e-08,0.6120669621982238,14.385707793608091
ciprofloxacin,assumed_0.1pct,0.001,76,2;2;1,-4.770465984827408,1.0000237006140267e-08,0.4785047624546286,10.040415225970586
ciprofloxacin,assumed_0.1pct,0.001,77,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,78,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,79,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,80,1;3;3,-4.2841086597677815,1.000000038640098e-08,0.6120669621982238,14.385707793608091
ciprofloxacin,assumed_0.1pct,0.001,81,3;2;3,-4.0208552487731675,1.0000013376230197e-08,0.5702190869137657,13.798867477060478
ciprofloxacin,assumed_0.1pct,0.001,82,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,83,1;2;1,-5.044609750955861,1.000000000755092e-08,0.5243407428678257,10.375009090792112
ciprofloxacin,assumed_0.1pct,0.001,84,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,85,1;2;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,86,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,87,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,88,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,89,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,90,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,91,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
