condition,initial_condition_scenario,initial_fraction,trial,split_id,n_train_observations,n_test_observations,train_times_h,test_times_h,method,test_rmse_observed_log,D,alpha,beta,train_sse,initial_condition_max_abs_error
ciprofloxacin,classification_anchor,0.00016165371753033532,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NLLS,0.9750974850231874,-4.5091808802590405,0.0009413499940664247,0.35870675412615777,8.53929190147833,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NN,0.9922118969313946,,,,0.3372346812291353,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,PINN,1.000914574903851,-4.452392340737123,0.00046795985870835404,0.2891061067739744,0.08504036467323794,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,6,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NLLS,0.968880819677215,-4.479017980248242,0.0032659308880853568,0.6018650321460479,9.74211212431526,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,6,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NN,0.7080493001456084,,,,0.42451242757246743,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,6,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,PINN,0.7419242299538013,-4.08894019451331,0.0005744400191491118,0.3527836677032984,0.1066082426757755,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,7,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NLLS,0.983282134821374,-4.498644606316696,0.0009837527928195273,0.3462764325817076,8.348078863964744,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,7,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NN,1.0537743616179347,,,,0.3326691802828089,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,7,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,PINN,0.9952966136076957,-4.437428997641501,0.0005186090348224016,0.280417218198614,0.0839174554579141,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,8,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NLLS,0.968880819677215,-4.479017980248242,0.0032659308880853568,0.6018650321460479,9.74211212431526,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,8,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NN,0.7082224190476659,,,,0.4247046820138418,0.0
