dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,training_objective,network_train_sse,ode_implied_train_sse,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,selected_weight_seed_index,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_network_seed,network_observed_sse,network_r2,ode_implied_observed_sse,ode_implied_r2
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,3,100003,0;1;3;24,6,12,3,NN,,,,2.165599224011903,0.18054967111703954,2.165599224011903,,2.243978535193949,,,0.0,,,,,,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,3,100003,0;1;3;24,6,12,3,PINN,-1.7105766756087732,2.9280262573745525e-06,0.07626684497152152,1.5181504571447848,0.0995287271370976,1.5181504571447848,1.4587250271461305,2.524690207753101,2.516645911408395,0.018592783373629195,0.0,1.0,1.0,0.009175898434055915,0.004360257381947682,100003101.0,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,4,100004,0;1;3;6,24,12,3,NLLS,-2.0833083783356416,0.02185561307265656,0.06742752198592368,1.0499886403464798,1.0499886403464798,1.0499886403464798,1.0499886403464798,2.7670493863349086,2.7670493863349086,0.0,0.0,,,,,,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,4,100004,0;1;3;6,24,12,3,NN,,,,1.8687920843439247,0.1557576975726515,1.8687920843439247,,10.135033187370881,,,0.0,,,,,,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,4,100004,0;1;3;6,24,12,3,PINN,-0.965534387900185,1.2040029007884034e-06,0.5280566593488928,14.436899492281993,0.3611944158519685,14.436899492281993,14.44646422529995,9.999736373135175,10.001283041022104,0.0018632830942066304,0.0,0.0,0.0,0.0006373652630636123,0.0002291855920100279,100004000.0,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,0,80000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,NLLS,-4.5394056361234245,1.0000001972245477e-08,1.407854947779028,65.24483223491292,65.24483223491292,65.24483223491293,65.24483223491293,,,0.0,0.0,,,,,,65.24483223491293,0.9545640915771918,65.24483223491293,0.9545640915771918
Umetani,ampicillin,assumed_0.1pct,0.001,0,80000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,NN,,,,63.50715650594667,1.0584562312378645,63.50715650594667,,,,,0.0,,,,,,63.50715650594667,0.9557741931681588,,
Umetani,ampicillin,assumed_0.1pct,0.001,0,80000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,PINN,-4.464992551680554,9.640977648673578e-05,1.4237728863841204,65.46018812616448,0.3398735382806726,65.46018812616448,65.61599496284549,,,0.006194485564367525,0.0,1.0,1.0,0.014342972086406398,0.006970456235204153,80000101.0,65.46018812616448,0.9544141196910202,65.61599496284549,0.9543056172254518
Umetani,ampicillin,assumed_0.1pct,0.001,1,80001,0;0.666666666667;1;1.5;2;2.5;4;5;6;7,0.333333333333;3,49,11,NLLS,-4.49010151028685,2.1789430002871394e-08,1.400690157175555,57.74578355004895,57.74578355004895,57.74578355004894,57.74578355004894,0.8314464861687011,0.8314464861687011,0.0,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,1,80001,0;0.666666666667;1;1.5;2;2.5;4;5;6;7,0.333333333333;3,49,11,NN,,,,56.09135653952873,1.1447238224515057,56.09135653952873,,0.8253617062162187,,,0.0,,,,,,,,,
