dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,start_id,weight_seed_index,network_seed,initial_D_abs,initial_alpha,initial_beta,alpha,beta,D,training_objective,network_to_fitted_ode_rmse_log,all_RN_rmse_h-1,all_RP_rmse_h-1,selected
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,2,1,70000201,10.0,0.05,2.0,0.00010676962060484412,0.5017308068835151,-6.351814602144836,0.25084915557874743,0.009641469402005817,0.015627796983321077,0.007950123338604797,False
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,3,0,70000300,20.0,0.5,10.0,2.841910580531949e-08,0.6033480181324499,-4.822420286453907,0.5878092842868354,0.062408384991595636,0.09289724453013264,0.02248340635942878,False
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,3,1,70000301,20.0,0.5,10.0,1.0790200479200373e-08,0.9085664806281479,-4.842379450715679,1.5325305602302888,0.1231655940667056,0.13512297150803942,0.04641543351834046,False
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,0,0,71000000,2.0,1e-05,0.05,2.6645410724027586e-06,0.0481486852930575,-3.9784122877578874,0.1975513188271371,0.04335744775532676,0.013511324069871102,0.011918757202057836,False
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,0,1,71000001,2.0,1e-05,0.05,1.9250057574102814e-06,0.0001231205863525347,-3.6756776967772575,0.2894545196216959,0.06458573683473562,0.022991563516818164,0.017370419840629116,False
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,1,0,71000100,5.0,0.001,0.5,3.176538593399441e-05,0.21066158751860253,-3.961901371288551,0.1348074975091247,0.0051049210800839205,0.009463753586507764,0.005664971474969423,True
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,1,1,71000101,5.0,0.001,0.5,2.747684971108379e-05,0.3596706525546796,-2.7646763004770087,0.7447164419894715,0.024827390911134173,0.06618553126969003,0.01900926162640084,False
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,2,0,71000200,10.0,0.05,2.0,1.768016555526944e-10,0.14446401731195918,-4.605270356183971,0.24272539818668992,0.018484518223528878,0.034700655925078296,0.022303327790460133,False
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,2,1,71000201,10.0,0.05,2.0,2.5548051160171575e-06,0.1727891231382313,-4.1705415206272916,0.173873839320252,0.016343090897030597,0.02346853539102275,0.019215403800017718,False
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,3,0,71000300,20.0,0.5,10.0,1.2197456709021736e-10,1.2852628297112911,-5.596915799547044,10.240858793841255,0.3896692785363785,0.31880253006952747,0.15800227253321952,False
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,3,1,71000301,20.0,0.5,10.0,1.0155436390944987e-10,0.5942246590410649,-4.314860051075545,1.222635463373162,0.12342141643934557,0.10479962025945411,0.03870399853996431,False
