condition,trial,split_seed,initial_fraction,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,global_objective_before_polish,global_nfev,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_weight_seed_index
nordholt_h2o2,4,5104,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,NN,,,,7.514279898139594,,,0.39788320330587473,,,0.0,,,,
nordholt_h2o2,4,5104,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,PINN,-89.04870174306414,0.2095517468138816,298.32409590403523,0.8347299142426414,,,0.9945710445381005,0.9950228402771603,0.00015638779615504455,0.0,3.0,0.012269605566511545,0.023842024851488945,1.0
nordholt_h2o2,5,5105,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,NLLS,-88.99531379015875,1.994249207174829e-08,130.85463631679283,83.45000061204165,83.45000061302312,1575.0,0.9946390051814046,0.9946390051814046,0.0,0.0,,,,
nordholt_h2o2,5,5105,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,NN,,,,7.512312680286149,,,0.39415959283488766,,,0.0,,,,
nordholt_h2o2,5,5105,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,PINN,-89.06157386535578,0.21019337058639417,299.1413643222129,0.8346295469401491,,,0.994462849900803,0.9951624017469796,0.000402401458120437,0.0,3.0,0.014256825055822419,0.034490677851654855,2.0
nordholt_h2o2,6,5106,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.00555555555556,30,5,NLLS,-88.17022171766617,1.1614485974834906e-08,130.89989378149846,85.83380996547547,85.83380996558523,1755.0,0.7075158372837943,0.7075158372837943,0.0,0.0,,,,
nordholt_h2o2,6,5106,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.00555555555556,30,5,NN,,,,7.808579694692243,,,0.227456805658855,,,0.0,,,,
nordholt_h2o2,6,5106,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.00555555555556,30,5,PINN,-88.2485439491066,0.21015304282913494,298.4394320573261,0.8583357221629797,,,0.7070417134506732,0.7078804800008925,0.0007598966585817387,0.0,3.0,0.026665907346296615,0.04392363176623685,1.0
nordholt_bac,1,5201,0.001,0;0.00833333333333;0.0333333333333;0.166666666667;0.333333333333;0.366666666667,0.0166666666667;0.0833333333333,18,6,NLLS,-58.30039907836112,0.10202193049279523,9.559996558344032,12.42627655541301,12.426276556248524,3195.0,1.0060686258028058,1.0060686258028058,0.0,0.0,,,,
nordholt_bac,1,5201,0.001,0;0.00833333333333;0.0333333333333;0.166666666667;0.333333333333;0.366666666667,0.0166666666667;0.0833333333333,18,6,NN,,,,12.975810243644853,,,0.9661253602837153,,,0.0,,,,
nordholt_bac,1,5201,0.001,0;0.00833333333333;0.0333333333333;0.166666666667;0.333333333333;0.366666666667,0.0166666666667;0.0833333333333,18,6,PINN,-49.526714331696695,0.00013194284699719915,6.126544193308554,0.2154655754994915,,,0.9621467319698097,0.9624009234758938,0.0012911820386144713,0.0,1.0,0.04415044557588858,0.02733179578014166,2.0
nordholt_bac,2,5202,0.001,0;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667;0.366666666667,0.00833333333333;0.333333333333,18,6,NLLS,-53.43116494876694,0.07634952398268098,10.090858220379316,12.98916584172482,12.989165841728514,3240.0,0.9567271638081859,0.9567271638081859,0.0,0.0,,,,
nordholt_bac,2,5202,0.001,0;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667;0.366666666667,0.00833333333333;0.333333333333,18,6,NN,,,,13.432599729476127,,,0.965194365224183,,,0.0,,,,
nordholt_bac,2,5202,0.001,0;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667;0.366666666667,0.00833333333333;0.333333333333,18,6,PINN,-50.157744082926406,0.0001158296998539262,6.996409446931378,0.22366787170074645,,,0.9662051304073183,0.966668845687757,0.002446793867798913,0.0,1.0,0.09330204003696159,0.028996077432203365,2.0
