condition,parameter,fixed_value,profile_sse,reference_sse,relative_sse,conditional_gaussian_lr,converged,optimized_D,optimized_alpha,optimized_beta
peyrusson_extracellular_oxacillin,D_abs,4.877047423002657,6.600027349588114,1.3787908062892658,4.786822859191194,23.488003577547694,True,-4.877047423002657,0.22360983371099122,0.25765536464681393
peyrusson_extracellular_oxacillin,D_abs,5.145836447495797,6.806960666649235,1.3787908062892658,4.936906045209846,23.951082425253237,True,-5.145836447495797,0.24624565586759556,0.26004743141099224
peyrusson_extracellular_oxacillin,D_abs,5.381884571241647,6.945643624820322,1.3787908062892658,5.037489076035476,24.253616381122683,True,-5.381884571241647,0.2652505540165647,0.26167577063674413
peyrusson_extracellular_oxacillin,D_abs,5.429439258573668,6.969579750130611,1.3787908062892658,5.054849305884055,24.305220616872415,True,-5.429439258573668,0.2689850186413365,0.261959157727567
peyrusson_extracellular_oxacillin,D_abs,5.728672289397529,7.095121870566589,1.3787908062892658,5.145901639467457,24.573008995478055,True,-5.728672289397529,0.2918170149772399,0.26345911134342676
peyrusson_extracellular_oxacillin,D_abs,6.04439696926132,7.190361588753913,1.3787908062892658,5.214976453248412,24.77301859868534,True,-6.04439696926132,0.3148002281123552,0.26461641877345243
peyrusson_extracellular_oxacillin,D_abs,6.377522203466399,7.261342688100414,1.3787908062892658,5.266457141270645,24.920368009055892,True,-6.377522203466398,0.33803959433627595,0.2654952596447522
peyrusson_extracellular_oxacillin,D_abs,6.390768214759297,7.263674584927638,1.3787908062892658,5.268148403510418,24.925184313512037,True,-6.390768214759297,0.3389452687133964,0.2655244544994498
peyrusson_extracellular_oxacillin,D_abs,6.729006989869748,7.313280398394278,1.3787908062892658,5.304126169854933,25.02727560421019,True,-6.729006989869748,0.36166906246975294,0.266152413384027
peyrusson_extracellular_oxacillin,D_abs,7.099863179638158,7.350557876026744,1.3787908062892658,5.3311625247990095,25.103539861705123,True,-7.099863179638159,0.38583902063929254,0.2666364937093209
peyrusson_extracellular_oxacillin,D_abs,7.491158390156077,7.376773832333232,1.3787908062892658,5.350176254936247,25.156942578197132,True,-7.491158390156078,0.4107072918990257,0.2669880617210468
peyrusson_extracellular_oxacillin,D_abs,7.5887763541080915,7.381780875867082,1.3787908062892658,5.353807729349197,25.167120492955625,True,-7.588776354108092,0.41683119873337215,0.26705690584959413
peyrusson_extracellular_oxacillin,D_abs,7.904019078472691,7.39481720616678,1.3787908062892658,5.363262630150851,25.193587343328428,True,-7.904019078472691,0.4364326629078748,0.2672401624117806
peyrusson_extracellular_oxacillin,D_abs,8.339633784136115,7.406954977115342,1.3787908062892658,5.372065829949687,25.21818799287003,True,-8.339633784136117,0.46317066822674535,0.26741911687643516
peyrusson_extracellular_oxacillin,D_abs,8.799256550750078,7.414924496843506,1.3787908062892658,5.377845908908592,25.23431857977065,True,-8.799256550750078,0.4910710483000878,0.26754541063877163
peyrusson_extracellular_oxacillin,D_abs,9.011362111313742,7.417479597706825,1.3787908062892658,5.3796990550506045,25.239486523292765,True,-9.011362111313742,0.5038686086357964,0.2675888210810947
peyrusson_extracellular_oxacillin,D_abs,9.284210536103132,7.420024503592909,1.3787908062892658,5.381544807049005,25.244632077208703,True,-9.28421053610313,0.520276532658658,0.26763459978878384
