alpha_true,beta_true,beta_alpha_ratio,method,metric,median,q1,q3,mean,sd,n
0.001,0.1,100.0,PINN,network_to_fitted_ode_rmse_log,0.01598395739154968,0.014826695084495377,0.040912928961789406,0.02453595395654315,0.016786586711973247,5
0.01,0.1,10.0,NLLS,alpha_relative_error_pct,2.4787523910336673,1.326759050792914,3.020859039201196,2.470549787035583,1.3987561844922822,5
0.01,0.1,10.0,NLLS,beta_relative_error_pct,4.605607310150884,3.266737192619673,5.872274030771374,6.137027552237251,4.496787219474227,5
0.01,0.1,10.0,NLLS,test_rmse_observed_log,0.08432677545211602,0.0807736609049733,0.08924126842526924,0.08709638606452216,0.014115646881345935,5
0.01,0.1,10.0,NLLS,test_rmse_latent_log,0.015926901390207936,0.015233617546539317,0.03130070890864226,0.021678982636033343,0.010137578355660953,5
0.01,0.1,10.0,NLLS,network_to_fitted_ode_rmse_log,0.0,0.0,0.0,0.0,0.0,5
0.01,0.1,10.0,PINN,alpha_relative_error_pct,3.356454881767168,2.091079836035581,4.2988729662407295,4.111038486492154,3.2587922337312216,5
0.01,0.1,10.0,PINN,beta_relative_error_pct,3.370989955014736,2.1944773663509665,5.616047119998324,4.756272969037953,4.638297726578746,5
0.01,0.1,10.0,PINN,test_rmse_observed_log,0.08540712024277122,0.08175446383744338,0.08840842322713297,0.0872981501344174,0.014562652632713424,5
0.01,0.1,10.0,PINN,test_rmse_latent_log,0.01779236654271681,0.015419588703022975,0.031219750732458498,0.021827831736682034,0.009254035109443793,5
0.01,0.1,10.0,PINN,network_to_fitted_ode_rmse_log,0.009291178514558244,0.007536024472835093,0.010122073473638554,0.012666768866350164,0.009576572341315053,5
0.05,0.1,2.0,NLLS,alpha_relative_error_pct,1.0581210020579324,0.8515626289548162,1.359119058655478,1.4341020929360806,1.366830874188392,5
0.05,0.1,2.0,NLLS,beta_relative_error_pct,3.5366748745445875,3.430635789063907,4.360008867709997,4.18085653264229,2.162431680486198,5
0.05,0.1,2.0,NLLS,test_rmse_observed_log,0.09256234717960869,0.0863782742621205,0.09651034842220575,0.08976617864434296,0.012562804682156828,5
0.05,0.1,2.0,NLLS,test_rmse_latent_log,0.012056158664038289,0.01181757505695216,0.018213462772253896,0.015912193687348412,0.007002320080011495,5
0.05,0.1,2.0,NLLS,network_to_fitted_ode_rmse_log,0.0,0.0,0.0,0.0,0.0,5
0.05,0.1,2.0,PINN,alpha_relative_error_pct,6.608106507448886,5.039193256815066,8.101748690032352,6.41735776139488,3.67442047896951,5
0.05,0.1,2.0,PINN,beta_relative_error_pct,12.735932099855763,11.280962095511015,19.748771056091485,14.138503401767858,7.745174080742861,5
0.05,0.1,2.0,PINN,test_rmse_observed_log,0.08686377455692414,0.08239553580056927,0.09765184709968022,0.0882808023947255,0.016937718872670857,5
0.05,0.1,2.0,PINN,test_rmse_latent_log,0.021731122582200724,0.021297462532265013,0.02332931604248389,0.02279409138151513,0.0035580915746150237,5
0.05,0.1,2.0,PINN,network_to_fitted_ode_rmse_log,0.04629524696857835,0.04463559532408961,0.054275075244243444,0.047005510912169014,0.018143436018886915,5
0.1,0.01,0.09999999999999999,NLLS,alpha_relative_error_pct,0.8269247224709453,0.6553985062179413,1.7850797592175116,1.7550542288865365,1.9979596978972973,5
0.1,0.01,0.09999999999999999,NLLS,beta_relative_error_pct,3.3928679457046806,2.240408080671341,14.963102657988191,7.812441569795181,8.05467751764633,5
0.1,0.01,0.09999999999999999,NLLS,test_rmse_observed_log,0.11912484961112732,0.09682990648142813,0.12343520514509726,0.1112781061990498,0.016484259235889254,5
0.1,0.01,0.09999999999999999,NLLS,test_rmse_latent_log,0.005267291811029923,0.005168729782940885,0.02945625634563593,0.015277738168892576,0.014553476443161854,5
0.1,0.01,0.09999999999999999,NLLS,network_to_fitted_ode_rmse_log,0.0,0.0,0.0,0.0,0.0,5
0.1,0.01,0.09999999999999999,PINN,alpha_relative_error_pct,21.409728076705704,19.18127540768422,30.7602806244205,23.075763681415758,7.640812160283078,5
0.1,0.01,0.09999999999999999,PINN,beta_relative_error_pct,99.99999377934856,99.99997894051303,99.99999894372507,99.99998633340336,1.6363536145392323e-05,5
