condition,parameter,fixed_value,profile_sse,likelihood_ratio_statistic
ciprofloxacin,beta,4.216965034285822,191.41704534479604,93.76707267709469
ciprofloxacin,beta,5.62341325190349,211.33749478016466,97.33113840490589
ciprofloxacin,beta,7.498942093324558,217.34098408036078,98.33953867085727
ciprofloxacin,beta,10.0,223.74186790016577,99.38445798311254
ampicillin,alpha,1e-08,65.24482680409668,0.0
ampicillin,alpha,2.1544346900318822e-08,65.24484784679314,1.4356887266655176e-05
ampicillin,alpha,4.641588833612782e-08,65.24489525082853,5.7950231179409884e-05
ampicillin,alpha,1e-07,65.24499737694526,0.00015186657795047273
ampicillin,alpha,2.1544346900318822e-07,65.24521779508528,0.000354565123344664
ampicillin,alpha,4.6415888336127725e-07,65.24569349382645,0.000792019719810384
ampicillin,alpha,1e-06,65.24671739668348,0.0017335943447842257
ampicillin,alpha,2.1544346900318822e-06,65.24891960984803,0.0037586856492405566
ampicillin,alpha,4.641588833612773e-06,65.2536625524026,0.00811992584364172
ampicillin,alpha,9.999999999999999e-06,65.2638787962275,0.017512910486346123
ampicillin,alpha,2.1544346900318823e-05,65.28585426547309,0.03771254071562544
ampicillin,alpha,4.641588833612772e-05,65.33307951752782,0.08109852105833561
ampicillin,alpha,0.0001,65.43413999660258,0.17383781725516614
ampicillin,alpha,0.00021544346900318823,65.64908133402814,0.3706058196430172
ampicillin,alpha,0.00046415888336127724,66.09942338079337,0.7807907868510581
ampicillin,alpha,0.001,67.01501790358763,1.6061939092149167
ampicillin,alpha,0.002154434690031882,68.7743651341847,3.1610539266898092
ampicillin,alpha,0.004641588833612773,71.85563433648346,5.790731033603004
ampicillin,alpha,0.01,76.58958435076764,9.61885496200126
ampicillin,alpha,0.021544346900318822,82.85631104507033,14.337664303326953
ampicillin,alpha,0.046415888336127725,90.34947998993921,19.532305074792845
ampicillin,alpha,0.1,98.94383012265938,24.984328381085593
ampicillin,alpha,0.21544346900318823,108.81371432851974,30.689432021416984
ampicillin,alpha,0.46415888336127725,120.5427657299207,36.83146492136081
ampicillin,alpha,1.0,124.14084856231315,38.5961971732591
ampicillin,beta,0.01,1002.355799263089,163.9176878459458
ampicillin,beta,0.01333521432163324,997.7617082868461,163.64205809690804
ampicillin,beta,0.01778279410038923,991.6535260934454,163.27361607745172
ampicillin,beta,0.023713737056616554,983.5403784720496,162.78071095675355
ampicillin,beta,0.03162277660168379,972.7786486318117,162.1205831403558
ampicillin,beta,0.042169650342858224,958.5295729634959,161.23521430722195
ampicillin,beta,0.056234132519034905,939.7093117561853,160.04542446147832
ampicillin,beta,0.07498942093324558,914.9341372894874,158.44231427873692
ampicillin,beta,0.1,882.4682232363778,156.27455621361455
ampicillin,beta,0.1333521432163324,840.1909891150491,153.32894342315143
ampicillin,beta,0.1778279410038923,785.6189252227105,149.29950019798667
ampicillin,beta,0.23713737056616552,716.0498540640893,143.73617697098373
ampicillin,beta,0.31622776601683794,628.9569745069043,135.95496046498403
ampicillin,beta,0.4216965034285822,522.8640445658477,124.87047801845294
ampicillin,beta,0.5623413251903491,399.10932646943616,108.6653122160103
ampicillin,beta,0.7498942093324558,265.1915204430888,84.13832640015605
ampicillin,beta,1.0,140.7857384794841,46.14553834705265
ampicillin,beta,1.333521432163324,67.68627504088413,2.2041950234262986
ampicillin,beta,1.7782794100389228,79.45003284537603,11.818887767436353
ampicillin,beta,2.371373705661655,121.03618573335521,37.07656277607927
ampicillin,beta,3.1622776601683795,183.42663256807327,62.020075285533345
ampicillin,beta,4.216965034285822,253.4944257974259,81.43169941339585
ampicillin,beta,5.62341325190349,273.33294506252815,85.95262724908865
ampicillin,beta,7.498942093324558,295.98488381005143,90.72969247255953
ampicillin,beta,10.0,321.8490278129725,95.75614405626878
